Species	Lat	Long
Historis_acheronta	-11.93	-71.255
Historis_odius	-11.93	-71.255
Baeotus_aeilus	-11.93	-71.255
Baeotus_deucalion	-11.93	-71.255
Colobura_dirce	-11.93	-71.255
Historis_acheronta	-12.983333	-69.6
Historis_odius	-12.983333	-69.6
Baeotus_aeilus	-12.983333	-69.6
Baeotus_deucalion	-12.983333	-69.6
Colobura_dirce	-12.983333	-69.6
Historis_odius	-12.766667	-68.9
Baeotus_deucalion	-12.766667	-68.9
Colobura_dirce	-12.766667	-68.9
Colobura_dirce	-25.516667	-54.133333
Historis_odius	-25.516667	-54.133333
Colobura_dirce	-27.337139	-55.586664
Historis_odius	-2.413333	-78.231667
Historis_odius	-1.068333	-77.63
Historis_odius	-0.633333	-76.416667
Historis_odius	-0.703333	-76.008333
Historis_odius	0.028333	-77.320667
Historis_odius	0.418333	-77.536667
Historis_odius	0.8875	-78.439167
Historis_odius	0.873667	-78.4925
Historis_odius	0.095	-78.641667
Colobura_dirce	-0.633333	-76.416667
Colobura_dirce	-0.703333	-76.008333
Colobura_dirce	1.040833	-78.643333
Historis_acheronta	-3.426667	-78.516667
Historis_acheronta	-1.013889	-77.669444
Historis_acheronta	-0.313333	-78.933333
Colobura_annulata	-2.376667	-77.5
Colobura_annulata	-1.0875	-77.778333
Colobura_annulata	-1.163333	-77.833333
Colobura_annulata	-0.703333	-76.008333
Colobura_annulata	0.95	-79.066667
Colobura_annulata	1.066667	-78.666667
Colobura_annulata	-0.3	-79.066667
Baeotus_aeilus	-1.076667	-77.936667
Baeotus_aeilus	-2.666667	-79.616667
Baeotus_deucalion	-1.066667	-77.55
Baeotus_deucalion	-1.916667	-77.233333
Baeotus_deucalion	-1.066667	-77.963333
Baeotus_deucalion	-0.548	-76.041333
Baeotus_deucalion	-0.703333	-76.008333
Colobura_annulata	-9.4625	-56.466111
Colobura_dirce	3.333333	-76.566667
Colobura_dirce	3.316667	-76.533333
Historis_acheronta	4.896997	-76.239767
Historis_odius	4.896997	-76.239767
Colobura_annulata	4.896997	-76.239767
Colobura_dirce	4.896997	-76.239767
Historis_odius	5.113333	-75.515722
Colobura_dirce	9.199608	-73.81695
Historis_odius	9.559858	-73.33855
Historis_acheronta	-2.65	-44.233333
Historis_odius	-2.65	-44.233333
Colobura_dirce	-2.65	-44.233333
Colobura_dirce	-19.895179	-43.915791
Historis_odius	-19.892114	-43.919268
Colobura_dirce	-3.830833	-73.375
Colobura_dirce	-3.832222	-73.374167
Historis_odius	18.374803	-71.036336
Baeotus_deucalion	-9.35135	-69.962
Historis_acheronta	-9.35135	-69.962
Historis_odius	-9.35135	-69.962
Colobura_dirce	18.038483	-71.636311
Colobura_dirce	18.111903	-71.606094
Colobura_dirce	18.121747	-71.556631
Colobura_dirce	18.791544	-71.024047
Historis_odius	18.093114	-71.627619
Historis_odius	18.111903	-71.606094
Historis_odius	18.121747	-71.556631
Historis_odius	18.791544	-71.024047
Colobura_dirce	13.619722	-88.714722
Historis_acheronta	13.619722	-88.714722
Historis_odius	13.619722	-88.714722
Colobura_annulata	-3.006944	-54.976389
Colobura_dirce	-3.006944	-54.976389
Historis_odius	15.696667	-86.901222
Historis_acheronta	15.696667	-86.901222
Colobura_dirce	15.696667	-86.901222
Colobura_dirce	17.219114	-89.622672
Historis_acheronta	17.219114	-89.622672
Historis_odius	17.219114	-89.622672
Colobura_dirce	9.907508	-84.269492
Historis_acheronta	9.907508	-84.269492
Historis_odius	9.907508	-84.269492
Colobura_dirce	13.498192	-89.268003
Historis_acheronta	13.498192	-89.268003
Historis_odius	13.498192	-89.268003
Historis_odius	9.716667	-83.416667
Colobura_dirce	18.315889	-88.180967
Historis_acheronta	18.315889	-88.180967
Historis_odius	18.315889	-88.180967
Colobura_dirce	23.141092	-81.773636
Historis_acheronta	23.141092	-81.773636
Historis_odius	23.141092	-81.773636
Colobura_dirce	20.064928	-76.721497
Colobura_dirce	21.855556	-79.988889
Historis_acheronta	21.855556	-79.988889
Historis_odius	21.855556	-79.988889
Baeotus_aeilus	-4.48	-58.573333
Historis_acheronta	-4.596944	-58.220556
Historis_acheronta	-4.48	-58.573333
Colobura_dirce	-1.899461	-57.049726
Historis_acheronta	-11.946389	-71.283333
Historis_odius	-11.946389	-71.283333
Baeotus_aeilus	-11.946389	-71.283333
Baeotus_deucalion	-11.946389	-71.283333
Colobura_dirce	-11.946389	-71.283333
Historis_odius	3.191869	-63.389661
Historis_acheronta	3.191869	-63.389661
Colobura_dirce	3.191869	-63.389661
Historis_acheronta	21.440139	-77.967344
Historis_odius	21.440139	-77.967344
Historis_acheronta	7.7297	-77.548642
Colobura_dirce	12.685819	-86.975322
Historis_odius	12.685819	-86.975322
Historis_odius	13.012089	-85.920586
Historis_odius	12.996856	-85.90815
Historis_odius	9.945	-84.018889
Historis_acheronta	18	-96.5
Historis_odius	18	-96.5
Colobura_dirce	18	-96.5
Colobura_annulata	-3.552833	-73.123333
Colobura_dirce	-3.552833	-73.123333
Historis_acheronta	-3.552833	-73.123333
Colobura_annulata	10.203056	-84.486111
Colobura_dirce	10.203056	-84.486111
Historis_acheronta	10.203056	-84.486111
Historis_odius	10.203056	-84.486111
Historis_acheronta	7.833333	-62.8
Historis_odius	7.833333	-62.8
Colobura_dirce	7.833333	-62.8
Historis_acheronta	-29	-63
Historis_odius	-29	-63
Colobura_annulata	2.965425	-78.183067
Colobura_dirce	-20.983333	-51.783333
Historis_odius	-20.983333	-51.783333
Colobura_annulata	5.863889	-54.995833
Historis_odius	14.716667	-88.883333
Colobura_dirce	12.825533	-85.439642
Historis_odius	13.355042	-81.373028
Historis_odius	12.5674	-81.706736
Historis_odius	5.827778	-55.177778
Colobura_dirce	10.214397	-61.080519
Historis_odius	-9.533333	-55.933333
Colobura_dirce	7.750114	-81.572631
Historis_odius	7.750114	-81.572631
Historis_acheronta	-5.8201	-35.189131
Historis_odius	-5.8201	-35.189131
Colobura_dirce	-0.633333	-76.133333
Colobura_dirce	-1.816667	-44.85
Colobura_dirce	-2.633333	-44.833333
Colobura_dirce	-3.533333	-44.95
Historis_acheronta	-2.633333	-44.833333
Historis_odius	-2.633333	-44.833333
Colobura_annulata	8.7	-83.2
Colobura_dirce	8.7	-83.2
Historis_odius	8.7	-83.2
Colobura_annulata	1.35	-78.066667
Historis_odius	1.35	-78.066667
Historis_odius	-27.725	-48.538333
Colobura_dirce	-27.725	-48.538333
Historis_acheronta	16.871667	-93.205833
Historis_acheronta	16.871667	-93.205833
Colobura_dirce	-10.478611	-40.207667
Historis_odius	-10.478611	-40.207667
Historis_acheronta	10.202244	-85.340369
Historis_odius	10.202244	-85.340369
Colobura_dirce	10.202244	-85.340369
Colobura_dirce	9.281053	-83.862128
Historis_odius	9.281053	-83.862128
Historis_acheronta	9.281053	-83.862128
Historis_odius	7.529686	-76.143642
Colobura_dirce	7.529686	-76.143642
